2026-04-17 15:29:14.857 [INFO] mnemis_build - logging configured at results\logs\mnemis_build.log
2026-04-17 15:29:14.858 [INFO] mnemis_build.cli - build_mnemis_graph main start | log_path=results\logs\mnemis_build.log
2026-04-17 15:29:14.860 [INFO] mnemis_build.cli - command rebuild-locomo-all start | args={'command': 'rebuild-locomo-all', 'data': WindowsPath('data/locomo.json'), 'group_id_prefix': 'locomo_user', 'max_concurrent_users': 1, 'func': <function _run_rebuild_locomo_all at 0x000001983CC76840>}
2026-04-17 15:29:14.886 [INFO] mnemis_build.cli - user rebuild task start | user_index=0, group_id=locomo_user_0
2026-04-17 15:29:14.903 [INFO] mnemis_build.cli.progress - user slot acquired | user_index=0, group_id=locomo_user_0, slot=1, total_turns=419
2026-04-17 15:29:15.736 [INFO] mnemis_build.cli.rebuild_user - rebuild user start | user_index=0, group_id=locomo_user_0, episode_count=419
2026-04-17 15:29:15.737 [INFO] mnemis_build.cli.rebuild_user - start clear_group | group_id=locomo_user_0
2026-04-17 15:29:15.737 [INFO] mnemis_build.neo4j - clear group start | group_id=locomo_user_0
2026-04-17 15:29:15.806 [INFO] mnemis_build.neo4j - clear group done | group_id=locomo_user_0
2026-04-17 15:29:15.806 [INFO] mnemis_build.cli.rebuild_user - done clear_group in 0.069s
2026-04-17 15:29:15.806 [INFO] mnemis_build.cli.rebuild_user - start base_graph.build | user_index=0, group_id=locomo_user_0, episode_count=419
2026-04-17 15:29:15.807 [INFO] mnemis_build.base_graph - base graph build start | group_id=locomo_user_0, total_episodes=419
2026-04-17 15:29:15.807 [INFO] mnemis_build.neo4j - ensure indexes start
2026-04-17 15:29:15.833 [INFO] mnemis_build.neo4j - ensure indexes done | query_count=11
2026-04-17 15:29:15.833 [INFO] mnemis_build.base_graph - turn start | group_id=locomo_user_0, turn=1/419, source_id=locomo_user_0:D1:1, speaker=Caroline
2026-04-17 15:29:15.835 [INFO] mnemis_build.neo4j - fetch recent episodes | group_id=locomo_user_0, limit=6
2026-04-17 15:29:15.836 [INFO] mnemis_build.llm - embedding request start | model=Qwen/Qwen3-Embedding-0.6B, total_inputs=1
2026-04-17 15:29:15.836 [INFO] mnemis_build.llm - embedding batch start | model=Qwen/Qwen3-Embedding-0.6B, input_count=1, attempt=1
2026-04-17 15:29:16.878 [INFO] mnemis_build.llm - embedding batch done | model=Qwen/Qwen3-Embedding-0.6B, input_count=1, attempt=1, runtime=1.042s
2026-04-17 15:29:16.879 [INFO] mnemis_build.llm - embedding request done | model=Qwen/Qwen3-Embedding-0.6B, total_inputs=1
2026-04-17 15:29:16.879 [INFO] mnemis_build.neo4j - upsert episode | group_id=locomo_user_0, episode_uuid=episode_b420bf31987440a19d0f8e442bf71fd5, source_id=locomo_user_0:D1:1
2026-04-17 15:29:16.888 [INFO] mnemis_build.base_graph - entity extraction start | group_id=locomo_user_0, episode_uuid=episode_b420bf31987440a19d0f8e442bf71fd5, source_id=locomo_user_0:D1:1
2026-04-17 15:29:16.888 [INFO] mnemis_build.llm - chat completion start | stage=base_graph_ingestion, operation=entity_name_extraction, model=gpt-4o-mini, attempt=1, message_count=2
2026-04-17 15:29:18.983 [INFO] mnemis_build.llm - chat completion done | stage=base_graph_ingestion, operation=entity_name_extraction, model=gpt-4o-mini, attempt=1, runtime=2.095s
2026-04-17 15:29:18.984 [INFO] mnemis_build.base_graph - entity names extracted | group_id=locomo_user_0, episode_uuid=episode_b420bf31987440a19d0f8e442bf71fd5, names=['Caroline', 'Mel']
2026-04-17 15:29:18.984 [INFO] mnemis_build.llm - chat completion start | stage=base_graph_ingestion, operation=entity_name_reflection, model=gpt-4o-mini, attempt=1, message_count=2
